Wall time,Step,Value
1712411438,571392,380.7232361
1712411621,573440,381.675415
1712411807,575488,385.157135
1712411990,577536,386.4020996
1712412193,579584,380.6065369
1712412397,581632,385.6381226
1712412607,583680,392.9309082
1712412798,585728,392.6010437
1712412990,587776,397.7810669
1712413181,589824,390.5970764
1712413379,591872,404.7255249
1712413570,593920,406.5890808
1712413769,595968,420.0929565
1712413938,598016,426.1119995
1712414119,600064,413.7070007
1712414298,602112,393.6477966
1712414487,604160,376.5506592
1712414680,606208,383.5673523
1712414872,608256,395.4172058
1712415073,610304,405.8708496
1712415274,612352,418.118042
1712415458,614400,420.3183899
1712415639,616448,409.3391113
1712415817,618496,396.8727112
1712416005,620544,391.8539734
1712416193,622592,399.4972229
1712416375,624640,390.7428589
1712416571,626688,385.8963013
1712416770,628736,391.7146606
1712416957,630784,398.006073
1712417136,632832,396.0617676
1712417321,634880,403.8448486
1712417513,636928,402.23703
1712417705,638976,387.952179
1712417892,641024,399.3630676
1712418078,643072,395.2051392
1712418262,645120,386.920105
1712418467,647168,404.613739
1712418654,649216,396.0587769
1712418857,651264,392.0572815
1712419081,653312,398.2611694
1712419290,655360,406.3731689
1712419491,657408,399.5938721
1712419690,659456,411.2177429
1712419901,661504,426.1151428
1712420096,663552,416.7926331
1712420311,665600,409.0420532
1712420507,667648,415.2100525
1712420695,669696,396.03125
1712420891,671744,392.3606262
1712421102,673792,392.5907898
1712421305,675840,390.4262085
1712421504,677888,399.9509888
1712421710,679936,405.4769897
1712421921,681984,410.1533508
1712422140,684032,410.7605591
1712422352,686080,402.291687
1712422565,688128,407.8593445
1712422748,690176,405.3469849
1712422937,692224,401.6279907
1712423141,694272,421.2216187
1712423350,696320,426.6373901
1712423556,698368,436.5111084
1712423754,700416,442.1357422
1712423945,702464,435.2049255
1712424132,704512,424.2199402
1712424324,706560,413.1315918
1712424525,708608,412.7460327
1712424733,710656,421.7574158
1712424958,712704,437.0503235
1712425159,714752,444.009613
1712425346,716800,445.8884583
1712425557,718848,453.2906494
1712425771,720896,455.1112671
1712425976,722944,446.3800964
1712426165,724992,444.401825
1712426361,727040,438.4523926
1712426566,729088,438.8319397
1712426763,731136,438.3677673
1712426961,733184,454.2711487
1712427183,735232,455.2818604
1712427385,737280,461.2550964
1712427588,739328,458.4900208
1712427794,741376,457.7710266
1712427994,743424,458.1351318
1712428212,745472,470.2575684
1712428414,747520,462.0038757
1712428620,749568,474.6898499
1712428810,751616,467.9148254
1712429022,753664,471.5160828
1712429221,755712,475.1220093
1712429432,757760,475.6924133
1712429670,759808,477.190979
1712429865,761856,472.6214905
1712430077,763904,465.4219666
1712430294,765952,482.8520203
1712430496,768000,466.6438293
1712430712,770048,465.1411743
1712430938,772096,482.441925
1712431155,774144,493.8086853
1712431363,776192,479.5175171
1712431561,778240,468.4899902
1712431770,780288,456.6109009
1712431975,782336,448.6974182
1712432165,784384,423.835022
1712432359,786432,410.9793091
1712432562,788480,430.4762878
1712432750,790528,415.1416626
1712432938,792576,423.5696716
1712433155,794624,448.8502197
1712433374,796672,456.8115845
1712433591,798720,466.6259155
1712433792,800768,474.8564758
1712434000,802816,473.1705322
1712434193,804864,473.9022522
1712434389,806912,453.4266968
1712434598,808960,460.4741516
1712434790,811008,471.8790894
1712435004,813056,475.730011
1712435189,815104,479.4490356
1712435389,817152,476.6949158
1712435605,819200,480.75
1712435808,821248,475.7221375
1712436010,823296,478.0954895
1712436224,825344,494.3491821
1712436426,827392,484.2832947
1712436643,829440,487.1320496
1712436860,831488,491.7907104
1712437074,833536,492.3409119
1712437275,835584,487.4102173
1712437468,837632,483.4166565
1712437676,839680,481.9126282
1712437883,841728,478.9677124
1712438107,843776,476.0481567
